source,destination,distance_meters
Mumbai_Warehouse,Mumbai_Warehouse,0
Mumbai_Warehouse,Delhi_DC,1359000
Mumbai_Warehouse,Bangalore_Hub,278000
Mumbai_Warehouse,Chennai_Distribution,101000
Mumbai_Warehouse,Kolkata_Center,613000
Mumbai_Warehouse,Hyderabad_WH,551000
Mumbai_Warehouse,Pune_Facility,507000
Mumbai_Warehouse,Ahmedabad_DC,335000
Mumbai_Warehouse,Jaipur_Hub,259000
Mumbai_Warehouse,Lucknow_Center,1435000
Mumbai_Warehouse,Kanpur_WH,1166000
Mumbai_Warehouse,Nagpur_Distribution,228000
Mumbai_Warehouse,Indore_Facility,1259000
Mumbai_Warehouse,Bhopal_DC,914000
Mumbai_Warehouse,Surat_Hub,115000
Mumbai_Warehouse,Vadodara_Center,111000
Mumbai_Warehouse,Patna_WH,241000
Mumbai_Warehouse,Ranchi_Distribution,497000
Mumbai_Warehouse,Chandigarh_Facility,526000
Mumbai_Warehouse,Amritsar_DC,1084000
Delhi_DC,Mumbai_Warehouse,1359000
Delhi_DC,Delhi_DC,0
Delhi_DC,Bangalore_Hub,1282000
Delhi_DC,Chennai_Distribution,104000
Delhi_DC,Kolkata_Center,1199000
Delhi_DC,Hyderabad_WH,457000
Delhi_DC,Pune_Facility,1380000
Delhi_DC,Ahmedabad_DC,1486000
Delhi_DC,Jaipur_Hub,1166000
Delhi_DC,Lucknow_Center,909000
Delhi_DC,Kanpur_WH,501000
Delhi_DC,Nagpur_Distribution,969000
Delhi_DC,Indore_Facility,1256000
Delhi_DC,Bhopal_DC,619000
Delhi_DC,Surat_Hub,63000
Delhi_DC,Vadodara_Center,376000
Delhi_DC,Patna_WH,1479000
Delhi_DC,Ranchi_Distribution,915000
Delhi_DC,Chandigarh_Facility,746000
Delhi_DC,Amritsar_DC,619000
Bangalore_Hub,Mumbai_Warehouse,278000
Bangalore_Hub,Delhi_DC,1282000
Bangalore_Hub,Bangalore_Hub,0
Bangalore_Hub,Chennai_Distribution,368000
Bangalore_Hub,Kolkata_Center,490000
Bangalore_Hub,Hyderabad_WH,739000
Bangalore_Hub,Pune_Facility,259000
Bangalore_Hub,Ahmedabad_DC,239000
Bangalore_Hub,Jaipur_Hub,828000
Bangalore_Hub,Lucknow_Center,248000
Bangalore_Hub,Kanpur_WH,785000
Bangalore_Hub,Nagpur_Distribution,754000
Bangalore_Hub,Indore_Facility,1286000
Bangalore_Hub,Bhopal_DC,591000
Bangalore_Hub,Surat_Hub,138000
Bangalore_Hub,Vadodara_Center,990000
Bangalore_Hub,Patna_WH,1148000
Bangalore_Hub,Ranchi_Distribution,305000
Bangalore_Hub,Chandigarh_Facility,825000
Bangalore_Hub,Amritsar_DC,211000
Chennai_Distribution,Mumbai_Warehouse,101000
Chennai_Distribution,Delhi_DC,104000
Chennai_Distribution,Bangalore_Hub,368000
Chennai_Distribution,Chennai_Distribution,0
Chennai_Distribution,Kolkata_Center,1180000
Chennai_Distribution,Hyderabad_WH,650000
